# KSL
ID	DOCULECT	CONCEPT	GlossID	Orthography	IPA	Tokens	CogID
336	WOT	87_trapsnareforcatchingbirdsbirdcage	101	čiklä	t͡ʃiklɛ	t͡ʃ i k l ɛ	101
#
337	H	87_trapsnareforcatchingbirdsbirdcage	102	csekle	t͡ʃɛklɛ	t͡ʃ ɛ k l ɛ	102
338	EAH	87_trapsnareforcatchingbirdsbirdcage	102	čikle	t͡ʃiklɛ	t͡ʃ i k l ɛ	102
339	WOT	87_trapsnareforcatchingbirdsbirdcage	102	čiklä	t͡ʃiklɛ	t͡ʃ i k l ɛ	102
#
340	H	87_trapsnareforcatchingbirdsbirdcage	103	cseklye	t͡ʃɛkjɛ	t͡ʃ ɛ k j ɛ	103
341	EAH	87_trapsnareforcatchingbirdsbirdcage	103	čikle	t͡ʃiklɛ	t͡ʃ i k l ɛ	103
342	WOT	87_trapsnareforcatchingbirdsbirdcage	103	čiklä	t͡ʃiklɛ	t͡ʃ i k l ɛ	103
#
343	H	87_trapsnareforcatchingbirdsbirdcage	104	csikle	t͡ʃiklɛ	t͡ʃ i k l ɛ	104
344	EAH	87_trapsnareforcatchingbirdsbirdcage	104	čikle	t͡ʃiklɛ	t͡ʃ i k l ɛ	104
345	WOT	87_trapsnareforcatchingbirdsbirdcage	104	čiklä	t͡ʃiklɛ	t͡ʃ i k l ɛ	104
#
346	H	88_akindofwillowusedforbasketsandinviticulturesalixpurpurea	105	csigolya	t͡ʃiɡojɒ	t͡ʃ i ɡ o j ɒ	105
347	OH	88_akindofwillowusedforbasketsandinviticulturesalixpurpurea	105	čigolʹa	t͡ʃiɡoja	t͡ʃ i ɡ o j a	105
348	EAH	88_akindofwillowusedforbasketsandinviticulturesalixpurpurea	105	čigla	t͡ʃiɡla	t͡ʃ i ɡ l a	105
349	WOT	88_akindofwillowusedforbasketsandinviticulturesalixpurpurea	105	čïgla	t͡ʃɯɡla	t͡ʃ ɯ ɡ l a	105
#
350	H	89_akindofwillow	106	csigla	t͡ʃiɡlɒ	t͡ʃ i ɡ l ɒ	106
351	EAH	89_akindofwillow	106	čigla	t͡ʃiɡla	t͡ʃ i ɡ l a	106
352	WOT	89_akindofwillow	106	čïgla	t͡ʃɯɡla	t͡ʃ ɯ ɡ l a	106
#
353	H	90_akindofwolfsmilkeasterflowereuphorbia	107	cötkény	t͡søtkeːɲ	t͡s ø t k eː ɲ	107
354	EAH	90_akindofwolfsmilkeasterflowereuphorbia	107	sütken	sytkɛn	s y t k ɛ n	107
#
355	H	90_akindofwolfsmilkeasterflowereuphorbia	108	cötkény	t͡søtkeːɲ	t͡s ø t k eː ɲ	108
356	EAH	90_akindofwolfsmilkeasterflowereuphorbia	108	süttegen	sytːɛɡɛn	s y tː ɛ ɡ ɛ n	108
#
357	H	91_afishleuciscussouffiaagassizi	109	csabak	t͡ʃɒbɒk	t͡ʃ ɒ b ɒ k	109
358	EAH	91_afishleuciscussouffiaagassizi	109	čabak	t͡ʃabak	t͡ʃ a b a k	109
#
359	H	92_onlyjust	110	csak	t͡ʃɒk	t͡ʃ ɒ k	110
360	EAH	92_onlyjust	110	čak	t͡ʃak	t͡ʃ a k	110
361	WOT	92_onlyjust	110	čak	t͡ʃak	t͡ʃ a k	110
#
362	H	93_pickaxemaceasmallaxewarhammer	111	csákány	t͡ʃaːkaːɲ	t͡ʃ aː k aː ɲ	111
363	EAH	93_pickaxemaceasmallaxewarhammer	111	čakan	t͡ʃakan	t͡ʃ a k a n	111
364	WOT	93_pickaxemaceasmallaxewarhammer	111	čakkan	t͡ʃakːan	t͡ʃ a kː a n	111
#
365	H	94_nettleurtica	112	csalán	t͡ʃɒlaːn	t͡ʃ ɒ l aː n	112
366	EAH	94_nettleurtica	112	čalān	t͡ʃalaːn	t͡ʃ a l aː n	112
367	WOT	94_nettleurtica	112	čalïγan	t͡ʃalɯɣan	t͡ʃ a l ɯ ɣ a n	112
#
368	H	94_nettleurtica	113	csalán	t͡ʃɒlaːn	t͡ʃ ɒ l aː n	113
369	EAH	94_nettleurtica	113	čilān	t͡ʃilaːn	t͡ʃ i l aː n	113
370	WOT	94_nettleurtica	113	čalïγan	t͡ʃalɯɣan	t͡ʃ a l ɯ ɣ a n	113
#
371	H	94_nettleurtica	114	csalán	t͡ʃɒlaːn	t͡ʃ ɒ l aː n	114
372	EAH	94_nettleurtica	114	čalaγan	t͡ʃalaɣan	t͡ʃ a l a ɣ a n	114
373	WOT	94_nettleurtica	114	čalïγan	t͡ʃalɯɣan	t͡ʃ a l ɯ ɣ a n	114
#
374	H	96_thicketbrushwooddryfoliagegrovemeadow	115	csalit	t͡ʃɒlit	t͡ʃ ɒ l i t	115
375	EAH	96_thicketbrushwooddryfoliagegrovemeadow	115	čalit	t͡ʃalit	t͡ʃ a l i t	115
376	WOT	96_thicketbrushwooddryfoliagegrovemeadow	115	čaltï	t͡ʃaltɯ	t͡ʃ a l t ɯ	115
#
377	H	96_thicketbrushwooddryfoliagegrovemeadow	116	csalit	t͡ʃɒlit	t͡ʃ ɒ l i t	116
378	EAH	96_thicketbrushwooddryfoliagegrovemeadow	116	čalit	t͡ʃalit	t͡ʃ a l i t	116
379	WOT	96_thicketbrushwooddryfoliagegrovemeadow	116	čalït	t͡ʃalɯt	t͡ʃ a l ɯ t	116
#
380	H	97_silvercupwoodenladleearthenwarebowl	117	csanak	t͡ʃɒnɒk	t͡ʃ ɒ n ɒ k	117
381	EAH	97_silvercupwoodenladleearthenwarebowl	117	čanak	t͡ʃanak	t͡ʃ a n a k	117
382	WOT	97_silvercupwoodenladleearthenwarebowl	117	čanak	t͡ʃanak	t͡ʃ a n a k	117
#
383	H	98_fightingtrooparmygroupbattlequarrelhubbubflock	118	csata	t͡ʃɒtɒ	t͡ʃ ɒ t ɒ	118
384	EAH	98_fightingtrooparmygroupbattlequarrelhubbubflock	118	čata	t͡ʃata	t͡ʃ a t a	118
385	WOT	98_fightingtrooparmygroupbattlequarrelhubbubflock	118	čata	t͡ʃata	t͡ʃ a t a	118
#
386	H	98_fightingtrooparmygroupbattlequarrelhubbubflock	119	csata	t͡ʃɒtɒ	t͡ʃ ɒ t ɒ	119
387	EAH	98_fightingtrooparmygroupbattlequarrelhubbubflock	119	čata	t͡ʃata	t͡ʃ a t a	119
388	WOT	98_fightingtrooparmygroupbattlequarrelhubbubflock	119	čatï	t͡ʃatɯ	t͡ʃ a t ɯ	119
#
389	H	99_toaddtojointobuckleupsomething	120	csat	t͡ʃɒt	t͡ʃ ɒ t	120
390	OH	99_toaddtojointobuckleupsomething	120	čatol	t͡ʃatol	t͡ʃ a t o l	120
391	EAH	99_toaddtojointobuckleupsomething	120	čat	t͡ʃat	t͡ʃ a t	120
392	WOT	99_toaddtojointobuckleupsomething	120	čat	t͡ʃat	t͡ʃ a t	120
#
393	H	100_clasp	121	csat	t͡ʃɒt	t͡ʃ ɒ t	121
394	OH	100_clasp	121	čåtol	t͡ʃɒtol	t͡ʃ ɒ t o l	121
395	LAH	100_clasp	121	čat	t͡ʃat	t͡ʃ a t	121
396	EAH	100_clasp	121	čati	t͡ʃati	t͡ʃ a t i	121
397	WOT	100_clasp	121	čatï	t͡ʃatɯ	t͡ʃ a t ɯ	121
#
398	H	101_measlesmallpoxpocksskineruptiondecorativeembroidery	122	csécs	t͡ʃeːt͡ʃ	t͡ʃ eː t͡ʃ	122
399	EAH	101_measlesmallpoxpocksskineruptiondecorativeembroidery	122	čëč	t͡ʃet͡ʃ	t͡ʃ e t͡ʃ	122
400	WOT	101_measlesmallpoxpocksskineruptiondecorativeembroidery	122	čeč	t͡ʃɛt͡ʃ	t͡ʃ ɛ t͡ʃ	122
#
401	H	101_measlesmallpoxpocksskineruptiondecorativeembroidery	123	csécs	t͡ʃeːt͡ʃ	t͡ʃ eː t͡ʃ	123
402	LAH	101_measlesmallpoxpocksskineruptiondecorativeembroidery	123	čëč	t͡ʃet͡ʃ	t͡ʃ e t͡ʃ	123
403	EAH	101_measlesmallpoxpocksskineruptiondecorativeembroidery	123	čëček	t͡ʃet͡ʃɛk	t͡ʃ e t͡ʃ ɛ k	123
404	WOT	101_measlesmallpoxpocksskineruptiondecorativeembroidery	123	čečäk	t͡ʃɛt͡ʃɛk	t͡ʃ ɛ t͡ʃ ɛ k	123
#
405	H	102_tobindsomething	124	csekél	t͡ʃɛkeːl	t͡ʃ ɛ k eː l	124
406	OH	102_tobindsomething	124	ček	t͡ʃɛk	t͡ʃ ɛ k	124
407	EAH	102_tobindsomething	124	čik	t͡ʃik	t͡ʃ i k	124
408	WOT	102_tobindsomething	124	čik	t͡ʃik	t͡ʃ i k	124
#
409	H	103_impuritiestowchaff	125	csepű	t͡ʃɛpyː	t͡ʃ ɛ p yː	125
410	OH	103_impuritiestowchaff	125	čöpǖ	t͡ʃøpyː	t͡ʃ ø p yː	125
411	LAH	103_impuritiestowchaff	125	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	125
412	EAH	103_impuritiestowchaff	125	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	125
413	WOT	103_impuritiestowchaff	125	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	125
#
414	H	103_impuritiestowchaff	126	csepű	t͡ʃɛpyː	t͡ʃ ɛ p yː	126
415	OH	103_impuritiestowchaff	126	čöpǖ	t͡ʃøpyː	t͡ʃ ø p yː	126
416	LAH	103_impuritiestowchaff	126	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	126
417	EAH	103_impuritiestowchaff	126	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	126
418	WOT	103_impuritiestowchaff	126	čöpiγ	t͡ʃøpiɣ	t͡ʃ ø p i ɣ	126
#
419	H	103_impuritiestowchaff	127	csepű	t͡ʃɛpyː	t͡ʃ ɛ p yː	127
420	OH	103_impuritiestowchaff	127	čepǖ	t͡ʃɛpyː	t͡ʃ ɛ p yː	127
421	LAH	103_impuritiestowchaff	127	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	127
422	EAH	103_impuritiestowchaff	127	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	127
423	WOT	103_impuritiestowchaff	127	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	127
#
424	H	103_impuritiestowchaff	128	csepű	t͡ʃɛpyː	t͡ʃ ɛ p yː	128
425	OH	103_impuritiestowchaff	128	čepǖ	t͡ʃɛpyː	t͡ʃ ɛ p yː	128
426	LAH	103_impuritiestowchaff	128	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	128
427	EAH	103_impuritiestowchaff	128	čöpüγ	t͡ʃøpyɣ	t͡ʃ ø p y ɣ	128
428	WOT	103_impuritiestowchaff	128	čöpiγ	t͡ʃøpiɣ	t͡ʃ ø p i ɣ	128
#
429	H	104_snailhelixsnailshellpulleyvertebra	129	csiga	t͡ʃiɡɒ	t͡ʃ i ɡ ɒ	129
430	EAH	104_snailhelixsnailshellpulleyvertebra	129	čïga	t͡ʃɯɡa	t͡ʃ ɯ ɡ a	129
431	WOT	104_snailhelixsnailshellpulleyvertebra	129	čïga	t͡ʃɯɡa	t͡ʃ ɯ ɡ a	129
#
432	H	105_awineoflowqualityafruitwine	130	csiger	t͡ʃiɡɛr	t͡ʃ i ɡ ɛ r	130
433	EAH	105_awineoflowqualityafruitwine	130	čigir	t͡ʃiɡir	t͡ʃ i ɡ i r	130
434	WOT	105_awineoflowqualityafruitwine	130	čïgïr	t͡ʃɯɡɯr	t͡ʃ ɯ ɡ ɯ r	130
#
435	H	105_awineoflowqualityafruitwine	131	csiger	t͡ʃiɡɛr	t͡ʃ i ɡ ɛ r	131
436	EAH	105_awineoflowqualityafruitwine	131	čigir	t͡ʃiɡir	t͡ʃ i ɡ i r	131
437	WOT	105_awineoflowqualityafruitwine	131	čȧgïr	t͡ʃɐɡɯr	t͡ʃ ɐ ɡ ɯ r	131
#
438	H	106_secretionmucusdischargedfromtheeyes	132	csipa	t͡ʃipɒ	t͡ʃ i p ɒ	132
439	OH	106_secretionmucusdischargedfromtheeyes	132	čapa	t͡ʃapa	t͡ʃ a p a	132
440	EAH	106_secretionmucusdischargedfromtheeyes	132	čapaγ	t͡ʃapaɣ	t͡ʃ a p a ɣ	132
441	WOT	106_secretionmucusdischargedfromtheeyes	132	čapaγ	t͡ʃapaɣ	t͡ʃ a p a ɣ	132
#
442	H	107_squinteyedblindinoneeyeonearmedonelegged	133	csolák	t͡ʃolaːk	t͡ʃ o l aː k	133
443	EAH	107_squinteyedblindinoneeyeonearmedonelegged	133	čolak	t͡ʃolak	t͡ʃ o l a k	133
444	WOT	107_squinteyedblindinoneeyeonearmedonelegged	133	čolak	t͡ʃolak	t͡ʃ o l a k	133
#
445	H	108_acarpentersaxewithalonghelve	134	csomak	t͡ʃomɒk	t͡ʃ o m ɒ k	134
446	EAH	108_acarpentersaxewithalonghelve	134	čomak	t͡ʃomak	t͡ʃ o m a k	134
447	WOT	108_acarpentersaxewithalonghelve	134	čomak	t͡ʃomak	t͡ʃ o m a k	134
#
448	H	109_stallion	135	csődör	t͡ʃøːdør	t͡ʃ øː d ø r	135
449	EAH	109_stallion	135	čeü̯dür	t͡ʃɛwdyr	t͡ʃ ɛ w d y r	135
#
450	H	109_stallion	136	csődör	t͡ʃøːdør	t͡ʃ øː d ø r	136
451	EAH	109_stallion	136	čeü̯dür	t͡ʃɛwdyr	t͡ʃ ɛ w d y r	136
#
452	H	109_stallion	137	csődör	t͡ʃøːdør	t͡ʃ øː d ø r	137
453	EAH	109_stallion	137	čeü̯dür	t͡ʃɛwdyr	t͡ʃ ɛ w d y r	137
#
454	H	110_sexualorganoflargemaleanimalsofabullawhipmadefromit	138	csök	t͡ʃøk	t͡ʃ ø k	138
455	EAH	110_sexualorganoflargemaleanimalsofabullawhipmadefromit	138	čük	t͡ʃyk	t͡ʃ y k	138
456	WOT	110_sexualorganoflargemaleanimalsofabullawhipmadefromit	138	čükV	t͡ʃykə	t͡ʃ y k ə	138
#
457	H	111_feastchristeningfeastatbaptism	139	csök	t͡ʃøk	t͡ʃ ø k	139
458	EAH	111_feastchristeningfeastatbaptism	139	čük	t͡ʃyk	t͡ʃ y k	139
459	WOT	111_feastchristeningfeastatbaptism	139	čök	t͡ʃøk	t͡ʃ ø k	139
#
460	H	112_tobecomesmallerremainsmalltoswaytotottertosprain	140	csökik	t͡ʃøkik	t͡ʃ ø k i k	140
461	OH	112_tobecomesmallerremainsmalltoswaytotottertosprain	140	čök	t͡ʃøk	t͡ʃ ø k	140
462	EAH	112_tobecomesmallerremainsmalltoswaytotottertosprain	140	čük	t͡ʃyk	t͡ʃ y k	140
463	WOT	112_tobecomesmallerremainsmalltoswaytotottertosprain	140	čök	t͡ʃøk	t͡ʃ ø k	140
#
464	H	113_stubborn	141	csököny	t͡ʃøkøɲ	t͡ʃ ø k ø ɲ	141
465	OH	113_stubborn	141	čököń	t͡ʃøkøɲ	t͡ʃ ø k ø ɲ	141
466	EAH	113_stubborn	141	čükün	t͡ʃykyn	t͡ʃ y k y n	141
467	WOT	113_stubborn	141	čikin	t͡ʃikin	t͡ʃ i k i n	141
#
468	H	114_fieldguardheraldturkishenvoy	142	csősz	t͡ʃøːs	t͡ʃ øː s	142
469	EAH	114_fieldguardheraldturkishenvoy	142	čäüš	t͡ʃɛyʃ	t͡ʃ ɛ y ʃ	142
470	WOT	114_fieldguardheraldturkishenvoy	142	čäwiš	t͡ʃɛwiʃ	t͡ʃ ɛ w i ʃ	142
#
471	H	115_roughcoarseuglywildunbridled	143	csúnya	t͡ʃuːɲɒ	t͡ʃ uː ɲ ɒ	143
472	OH	115_roughcoarseuglywildunbridled	143	čuńa	t͡ʃuɲa	t͡ʃ u ɲ a	143
473	EAH	115_roughcoarseuglywildunbridled	143	čunaγ	t͡ʃunaɣ	t͡ʃ u n a ɣ	143
474	WOT	115_roughcoarseuglywildunbridled	143	čunaγ	t͡ʃunaɣ	t͡ʃ u n a ɣ	143
#
475	H	116_towindtoturntodistrortmisinterprettospinayarn	144	csűr	t͡ʃyːr	t͡ʃ yː r	144
476	EAH	116_towindtoturntodistrortmisinterprettospinayarn	144	čevür	t͡ʃɛvyr	t͡ʃ ɛ v y r	144
477	WOT	116_towindtoturntodistrortmisinterprettospinayarn	144	čäwür	t͡ʃɛwyr	t͡ʃ ɛ w y r	144
#
478	H	117_bobbinspindle	145	csűr	t͡ʃyːr	t͡ʃ yː r	145
479	OH	117_bobbinspindle	145	čǖri	t͡ʃyːri	t͡ʃ yː r i	145
480	EAH	117_bobbinspindle	145	čeviri	t͡ʃɛviri	t͡ʃ ɛ v i r i	145
481	WOT	117_bobbinspindle	145	čäviri	t͡ʃɛviri	t͡ʃ ɛ v i r i	145
#
482	H	118_excellentworthless	146	daksi	dɒkʃi	d ɒ k ʃ i	146
483	EAH	118_excellentworthless	146	ǰakši	d͡ʒʲakʃi	d͡ʒʲ a k ʃ i	146
#
484	H	119_ashortfurcoat	147	daku	dɒku	d ɒ k u	147
485	EAH	119_ashortfurcoat	147	daku	daku	d a k u	147
#
486	H	120_gristgroatssofthail	148	dara	dɒrɒ	d ɒ r ɒ	148
487	EAH	120_gristgroatssofthail	148	dara	dara	d a r a	148
488	WOT	120_gristgroatssofthail	148	tarï	tarɯ	t a r ɯ	148
#
489	H	120_gristgroatssofthail	149	dara	dɒrɒ	d ɒ r ɒ	149
490	EAH	120_gristgroatssofthail	149	dara	dara	d a r a	149
491	WOT	120_gristgroatssofthail	149	darï	darɯ	d a r ɯ	149
#
492	H	121_noonsouth	150	dél	deːl	d eː l	150
493	EAH	121_noonsouth	150	töli	tøli	t ø l i	150
494	WOT	121_noonsouth	150	tüli	tyli	t y l i	150
#
495	H	121_noonsouth	151	dél	deːl	d eː l	151
496	EAH	121_noonsouth	151	döli	døli	d ø l i	151
497	WOT	121_noonsouth	151	düli	dyli	d y l i	151
#
498	H	122_nutwalnutjuglans	152	dió	dioː	d i oː	152
499	OH	122_nutwalnutjuglans	152	ǰiwo	d͡ʒʲiwo	d͡ʒʲ i w o	152
500	LAH	122_nutwalnutjuglans	152	ǰiγau̯	d͡ʒʲiɣaw	d͡ʒʲ i ɣ a w	152
501	EAH	122_nutwalnutjuglans	152	ǰiγaγ	d͡ʒʲiɣaɣ	d͡ʒʲ i ɣ a ɣ	152
502	WOT	122_nutwalnutjuglans	152	ǰïγaγ	d͡ʒʲɯɣaɣ	d͡ʒʲ ɯ ɣ a ɣ	152
#
503	H	122_nutwalnutjuglans	153	dió	dioː	d i oː	153
504	OH	122_nutwalnutjuglans	153	ǰiwo	d͡ʒʲiwo	d͡ʒʲ i w o	153
505	LAH	122_nutwalnutjuglans	153	ǰiγau̯	d͡ʒʲiɣaw	d͡ʒʲ i ɣ a w	153
506	EAH	122_nutwalnutjuglans	153	ǰiγaγ	d͡ʒʲiɣaɣ	d͡ʒʲ i ɣ a ɣ	153
507	WOT	122_nutwalnutjuglans	153	ǰȧγaγ	d͡ʒʲɐɣaɣ	d͡ʒʲ ɐ ɣ a ɣ	153
#
508	H	123_pigsusdomestica	154	disznó	disnoː	d i s n oː	154
509	EAH	123_pigsusdomestica	154	ǰisnaγ	d͡ʒʲisnaɣ	d͡ʒʲ i s n a ɣ	154
510	WOT	123_pigsusdomestica	154	ǰȧsnaγ	d͡ʒʲɐsnaɣ	d͡ʒʲ ɐ s n a ɣ	154
#
511	H	124_toleantoppleoverstreamdown	155	dől	døːl	d øː l	155
512	OH	124_toleantoppleoverstreamdown	155	dǖl	dyːl	d yː l	155
513	EAH	124_toleantoppleoverstreamdown	155	dül	dyl	d y l	155
514	WOT	124_toleantoppleoverstreamdown	155	tül	tyl	t y l	155
#
515	H	124_toleantoppleoverstreamdown	156	dől	døːl	d øː l	156
516	OH	124_toleantoppleoverstreamdown	156	dǖl	dyːl	d yː l	156
517	EAH	124_toleantoppleoverstreamdown	156	dül	dyl	d y l	156
518	WOT	124_toleantoppleoverstreamdown	156	dül	dyl	d y l	156
#
519	H	125_tosqueezetothrustinto	157	dug	duɡ	d u ɡ	157
520	EAH	125_tosqueezetothrustinto	157	dïg	dɯɡ	d ɯ ɡ	157
521	WOT	125_tosqueezetothrustinto	157	dïg	dɯɡ	d ɯ ɡ	157
#
522	H	125_tosqueezetothrustinto	158	dug	duɡ	d u ɡ	158
523	EAH	125_tosqueezetothrustinto	158	dïg	dɯɡ	d ɯ ɡ	158
524	WOT	125_tosqueezetothrustinto	158	tïk	tɯk	t ɯ k	158
#
525	H	126_churchbuildingandorganisation	159	ëgyház	eɟhaːz	e ɟ h aː z	159
526	EAH	126_churchbuildingandorganisation	159	ëdʹ	eɟ	e ɟ	159
527	WOT	126_churchbuildingandorganisation	159	edü	ɛdy	ɛ d y	159
#
528	H	126_churchbuildingandorganisation	160	ëgyház	eɟhaːz	e ɟ h aː z	160
529	EAH	126_churchbuildingandorganisation	160	ëdʹ	eɟ	e ɟ	160
530	WOT	126_churchbuildingandorganisation	160	edi	ɛdi	ɛ d i	160
#
531	H	127_wedge	161	ék	eːk	eː k	161
532	WOT	127_wedge	161	ēk	eːk	eː k	161
#
533	H	128_plough	162	eke	ɛkɛ	ɛ k ɛ	162
534	EAH	128_plough	162	ekeγ	ɛkɛɣ	ɛ k ɛ ɣ	162
535	WOT	128_plough	162	äkäγ	ɛkɛɣ	ɛ k ɛ ɣ	162
#
536	H	129_toallowpermitconcedeyieldgiveway	163	eng	ɛŋ	ɛ ŋ	163
537	EAH	129_toallowpermitconcedeyieldgiveway	163	eng	ɛnɡ	ɛ n ɡ	163
538	WOT	129_toallowpermitconcedeyieldgiveway	163	äŋ	ɛŋ	ɛ ŋ	163
#
539	H	130_topropitiate	164	eng	ɛŋ	ɛ ŋ	164
540	EAH	130_topropitiate	164	eng	ɛnɡ	ɛ n ɡ	164
541	WOT	130_topropitiate	164	äŋ	ɛŋ	ɛ ŋ	164
#
542	H	131_communityworkinagricultureakindofcorvee	165	enő	ɛnøː	ɛ n øː	165
543	OH	131_communityworkinagricultureakindofcorvee	165	eneü̯	ɛnɛw	ɛ n ɛ w	165
544	EAH	131_communityworkinagricultureakindofcorvee	165	ineγ	inɛɣ	i n ɛ ɣ	165
545	WOT	131_communityworkinagricultureakindofcorvee	165	inäγ	inɛɣ	i n ɛ ɣ	165
#
546	H	132_toarrivetoreachgetto	166	ér	eːr	eː r	166
547	EAH	132_toarrivetoreachgetto	166	er	ɛr	ɛ r	166
548	WOT	132_toarrivetoreachgetto	166	er	ɛr	ɛ r	166
#
549	H	133_merit	167	érdem	eːrdɛm	eː r d ɛ m	167
550	EAH	133_merit	167	erdem	ɛrdɛm	ɛ r d ɛ m	167
551	WOT	133_merit	167	ärdäm	ɛrdɛm	ɛ r d ɛ m	167
#
552	H	134_moralsmorality	168	erkölcs	ɛrkølt͡ʃ	ɛ r k ø l t͡ʃ	168
553	EAH	134_moralsmorality	168	erkelč	ɛrkɛlt͡ʃ	ɛ r k ɛ l t͡ʃ	168
554	WOT	134_moralsmorality	168	ärkilč	ɛrkilt͡ʃ	ɛ r k i l t͡ʃ	168
#
555	H	135_totirelosevitalityslackenrelax	169	erny	ɛrɲ	ɛ r ɲ	169
556	EAH	135_totirelosevitalityslackenrelax	169	erin	ɛrin	ɛ r i n	169
557	WOT	135_totirelosevitalityslackenrelax	169	ärin	ɛrin	ɛ r i n	169
#
558	H	136_strengthpower	170	erő	ɛrøː	ɛ r øː	170
559	OH	136_strengthpower	170	ereü̯	ɛrɛw	ɛ r ɛ w	170
560	EAH	136_strengthpower	170	eriγ	ɛriɣ	ɛ r i ɣ	170
561	WOT	136_strengthpower	170	äriγ	ɛriɣ	ɛ r i ɣ	170
#
562	H	137_oath	171	es	ɛʃ	ɛ ʃ	171
563	OH	137_oath	171	ešü	ɛʃy	ɛ ʃ y	171
564	LAH	137_oath	171	ečü	ɛt͡ʃy	ɛ t͡ʃ y	171
565	EAH	137_oath	171	ičü	it͡ʃy	i t͡ʃ y	171
566	WOT	137_oath	171	ičü	it͡ʃy	i t͡ʃ y	171
#
567	H	137_oath	172	eskü	ɛʃky	ɛ ʃ k y	172
568	OH	137_oath	172	iškü	iʃky	i ʃ k y	172
569	EAH	137_oath	172	ičkü	it͡ʃky	i t͡ʃ k y	172
570	WOT	137_oath	172	ičkü	it͡ʃky	i t͡ʃ k y	172
#
571	H	138_reasonmind	173	ész	eːs	eː s	173
572	EAH	138_reasonmind	173	es	ɛs	ɛ s	173
573	WOT	138_reasonmind	173	es	ɛs	ɛ s	173
#
574	H	139_rivernameofariver	174	etel	ɛtɛl	ɛ t ɛ l	174
575	EAH	139_rivernameofariver	174	etil	ɛtil	ɛ t i l	174
576	WOT	139_rivernameofariver	174	ätil	ɛtil	ɛ t i l	174
#
577	H	139_rivernameofariver	175	etil	ɛtil	ɛ t i l	175
578	EAH	139_rivernameofariver	175	etil	ɛtil	ɛ t i l	175
579	WOT	139_rivernameofariver	175	ätil	ɛtil	ɛ t i l	175
#
580	H	162_weed	176	gaz	ɡɒz	ɡ ɒ z	176
581	OH	162_weed	176	kāz	kaːz	k aː z	176
582	EAH	162_weed	176	kaγzu	kaɣzu	k a ɣ z u	176
583	WOT	162_weed	176	kaγδu	kaɣðu	k a ɣ ð u	176
#
584	H	140_pelicanpelicanus	177	gödény	ɡødeːɲ	ɡ ø d eː ɲ	177
585	OH	140_pelicanpelicanus	177	güden	ɡydɛn	ɡ y d ɛ n	177
586	EAH	140_pelicanpelicanus	177	güden	ɡydɛn	ɡ y d ɛ n	177
587	WOT	140_pelicanpelicanus	177	güdän	ɡydɛn	ɡ y d ɛ n	177
#
588	H	140_pelicanpelicanus	178	gödény	ɡødeːɲ	ɡ ø d eː ɲ	178
589	OH	140_pelicanpelicanus	178	güden	ɡydɛn	ɡ y d ɛ n	178
590	EAH	140_pelicanpelicanus	178	güden	ɡydɛn	ɡ y d ɛ n	178
591	WOT	140_pelicanpelicanus	178	kütän	kytɛn	k y t ɛ n	178
#
592	H	141_polecatputoriusfoetidus	179	görény	ɡøreːɲ	ɡ ø r eː ɲ	179
593	EAH	141_polecatputoriusfoetidus	179	güren	ɡyrɛn	ɡ y r ɛ n	179
594	WOT	141_polecatputoriusfoetidus	179	gürän	ɡyrɛn	ɡ y r ɛ n	179
#
595	H	141_polecatputoriusfoetidus	180	görény	ɡøreːɲ	ɡ ø r eː ɲ	180
596	EAH	141_polecatputoriusfoetidus	180	güren	ɡyrɛn	ɡ y r ɛ n	180
597	WOT	141_polecatputoriusfoetidus	180	kürän	kyrɛn	k y r ɛ n	180
#
598	H	142_matchmaker	181	gügyű	ɡyɟyː	ɡ y ɟ yː	181
599	OH	142_matchmaker	181	küdʹǖ	kyɟyː	k y ɟ yː	181
600	LAH	142_matchmaker	181	küdʹeü̯	kyɟɛw	k y ɟ ɛ w	181
601	EAH	142_matchmaker	181	küdeγü	kydɛɣy	k y d ɛ ɣ y	181
#
602	H	143_gleanermousemusspicilegus	182	güzü	ɡyzy	ɡ y z y	182
603	OH	143_gleanermousemusspicilegus	182	güzǖ	ɡyzyː	ɡ y z yː	182
604	LAH	143_gleanermousemusspicilegus	182	küzeγü	kyzɛɣy	k y z ɛ ɣ y	182
605	EAH	143_gleanermousemusspicilegus	182	küseγü	kysɛɣy	k y s ɛ ɣ y	182
606	WOT	143_gleanermousemusspicilegus	182	küsäγü	kysɛɣy	k y s ɛ ɣ y	182
#
607	H	144_toabusecalumniate	183	gyalá	ɟɒlaː	ɟ ɒ l aː	183
608	OH	144_toabusecalumniate	183	dʹala	ɟala	ɟ a l a	183
609	EAH	144_toabusecalumniate	183	ǰala	d͡ʒʲala	d͡ʒʲ a l a	183
