ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE
1128	OH	cheap	ōčō	ōčō	oː t͡ʃ oː	
1129	LAH	cheap	učau̯	učau̯	u t͡ʃ a w	
1130	EAH	cheap	učaγ	učaγ	u t͡ʃ a ɣ	
1131	WOT	cheap	učaγ	učaγ	u t͡ʃ a ɣ	
1229	H	cheese	sajt	sajt	ʃ ɒ j t	
1230	OH	cheese	šaχt	šaχt	ʃ a χ t	
1231	EAH	cheese	čaγt	čaγt	t͡ʃ a ɣ t	
1232	WOT	cheese	čïγt	čïγt	t͡ʃ ɯ ɣ t	
1233	H	cheese	sajt	sajt	ʃ ɒ j t	
1234	OH	cheese	šaχt	šaχt	ʃ a χ t	
1235	EAH	cheese	čaγt	čaγt	t͡ʃ a ɣ t	
1236	WOT	cheese	čïgït	čïgït	t͡ʃ ɯ ɡ ɯ t	
886	H	chicory, Cichorium sp., Cichorium intybus	katáng	katáng	k ɒ t aː n ɡ	
887	EAH	chicory, Cichorium sp., Cichorium intybus	katāng	katāng	k a t aː n ɡ	
888	WOT	chicory, Cichorium sp., Cichorium intybus	kataŋ	kataŋ	k a t a ŋ	
665	H	child	gyermek	gyermek	ɟ ɛ r m ɛ k	
666	EAH	child	ǰärmäk	ǰärmäk	d͡ʒʲ ɛ r m ɛ k	
667	WOT	child	ǰärmäk	ǰärmäk	d͡ʒʲ ɛ r m ɛ k	
668	H	child	gyermek	gyermek	ɟ ɛ r m ɛ k	
669	EAH	child	ǰärmäk	ǰärmäk	d͡ʒʲ ɛ r m ɛ k	
670	WOT	child	ǰärmük	ǰärmük	d͡ʒʲ ɛ r m y k	
526	H	church (building and organisation)	ëgyház	ëgyház	e ɟ h aː z	
527	EAH	church (building and organisation)	ëdʹ	ëdʹ	e ɟ	
528	WOT	church (building and organisation)	edü	edü	ɛ d y	
529	H	church (building and organisation)	ëgyház	ëgyház	e ɟ h aː z	
530	EAH	church (building and organisation)	ëdʹ	ëdʹ	e ɟ	
531	WOT	church (building and organisation)	edi	edi	ɛ d i	
1063	H	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	köpű	köpű	k ø p yː	
1064	OH	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	küpǖ	küpǖ	k y p yː	
1065	EAH	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	küpüγ	küpüγ	k y p y ɣ	
1066	WOT	churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)	küpüγ	küpüγ	k y p y ɣ	
394	H	clasp	csat	csat	t͡ʃ ɒ t	
395	OH	clasp	čåtol	čåtol	t͡ʃ ɒ t o l	
396	LAH	clasp	čat	čat	t͡ʃ a t	
397	EAH	clasp	čati	čati	t͡ʃ a t i	
398	WOT	clasp	čatï	čatï	t͡ʃ a t ɯ	
1060	H	cloak, gown, overcoat	köpönyek	köpönyek	k ø p ø ɲ ɛ k	See headword 'KÖPÖNYEG' (with a 'G') in the original monograph. The etymological part features a 'k' ('köpönyek'), therefore the entry in this data set also contains a 'k'. The subentry 'köpeny' was omitted.
1061	EAH	cloak, gown, overcoat	kepenek	kepenek	k ɛ p ɛ n ɛ k	See headword 'KÖPÖNYEG' (with a 'G') in the original monograph. The etymological part features a 'k' ('köpönyek'), therefore the entry in this data set also contains a 'k'. The subentry 'köpeny' was omitted.
1062	WOT	cloak, gown, overcoat	kepenek	kepenek	k ɛ p ɛ n ɛ k	See headword 'KÖPÖNYEG' (with a 'G') in the original monograph. The etymological part features a 'k' ('köpönyek'), therefore the entry in this data set also contains a 'k'. The subentry 'köpeny' was omitted.
316	H	club, mace, reed-mace	buzogány	buzogány	b u z o ɡ aː ɲ	
317	EAH	club, mace, reed-mace	buzgan	buzgan	b u z ɡ a n	
988	H	coffin	koporsó	koporsó	k o p o r ʃ oː	
989	EAH	coffin	kopurčaγ	kopurčaγ	k o p u r t͡ʃ a ɣ	
990	WOT	coffin	kapurčaγ	kapurčaγ	k a p u r t͡ʃ a ɣ	
1424	H	colour, face, external appearance, the best part of something, the upperpart of something	szín	szín	s iː n	
1425	EAH	colour, face, external appearance, the best part of something, the upperpart of something	sin	sin	s i n	
1426	WOT	colour, face, external appearance, the best part of something, the upperpart of something	sin	sin	s i n	
543	H	community work in agriculture, a kind of corvée	enő	enő	ɛ n øː	
544	OH	community work in agriculture, a kind of corvée	eneü̯	eneü̯	ɛ n ɛ w	
545	EAH	community work in agriculture, a kind of corvée	ineγ	ineγ	i n ɛ ɣ	
546	WOT	community work in agriculture, a kind of corvée	inäγ	inäγ	i n ɛ ɣ	
1652	H	cottage cheese, cheese curds	túró	túró	t uː r oː	
1653	OH	cottage cheese, cheese curds	turō	turō	t u r oː	
1654	EAH	cottage cheese, cheese curds	toraγ	toraγ	t o r a ɣ	
1655	WOT	cottage cheese, cheese curds	toraγ	toraγ	t o r a ɣ	
623	H	cotton	gyapot	gyapot	ɟ ɒ p o t	
624	EAH	cotton	ǰaput	ǰaput	d͡ʒʲ a p u t	
625	WOT	cotton	ǰaput	ǰaput	d͡ʒʲ a p u t	
107	H	courageous, brave, valiant	bátor	bátor	b aː t o r	
108	EAH	courageous, brave, valiant	baγatur	baγatur	b a ɣ a t u r	
109	WOT	courageous, brave, valiant	baγatur	baγatur	b a ɣ a t u r	
215	H	cover	burok	burok	b u r o k	
216	EAH	cover	bur	bur	b u r	
217	WOT	cover	bur	bur	b u r	
281	H	cradle	bölcső	bölcső	b ø l t͡ʃ øː	
282	OH	cradle	belčȫ	belčȫ	b ɛ l t͡ʃ øː	
283	EAH	cradle	belčeγ	belčeγ	b ɛ l t͡ʃ ɛ ɣ	
284	WOT	cradle	belčiγ	belčiγ	b ɛ l t͡ʃ i ɣ	
1140	H	crumb (of bread), morsel, a small piece of bread	ontok	ontok	o n t o k	
1141	WOT	crumb (of bread), morsel, a small piece of bread	untak	untak	u n t a k	
1142	H	crumb (of bread), morsel, a small piece of bread	ontog	ontog	o n t o ɡ	
1143	WOT	crumb (of bread), morsel, a small piece of bread	untak	untak	u n t a k	
920	H	cud	kérő	kérő	k eː r øː	
921	OH	cud	kevreγ	kevreγ	k ɛ v r ɛ ɣ	
922	EAH	cud	kevereγ	kevereγ	k ɛ v ɛ r ɛ ɣ	
923	WOT	cud	käwiräg	käwiräg	k ɛ v i r ɛ ɡ	
696	H	cudweed, Gnaphalium; Edelweiss	gyopár	gyopár	ɟ o p aː r	
697	OH	cudweed, Gnaphalium; Edelweiss	ǰupar	ǰupar	d͡ʒʲ u p a r	
698	EAH	cudweed, Gnaphalium; Edelweiss	ǰïpar	ǰïpar	d͡ʒʲ ɯ p a r	
699	WOT	cudweed, Gnaphalium; Edelweiss	ǰïpar	ǰïpar	d͡ʒʲ ɯ p a r	
1163	H	cune in play in ostábla	os	os	o ʃ	
1164	OH	cune in play in ostábla	ošk	ošk	o ʃ k	
1165	LAH	cune in play in ostábla	ačk	ačk	a t͡ʃ k	
1166	EAH	cune in play in ostábla	alčuk	alčuk	a l t͡ʃ u k	
1167	WOT	cune in play in ostábla	alčuk	alčuk	a l t͡ʃ u k	
1291	H	cup, goblet	serleg	serleg	ʃ ɛ r l ɛ ɡ	
1292	EAH	cup, goblet	šerleg	šerleg	ʃ ɛ r l ɛ ɡ	
1293	WOT	cup, goblet	širlig	širlig	ʃ i r l i ɡ	
861	H	damage, loss	kár	kár	k aː r	
862	WOT	damage, loss	kăvar	kăvar	k ɐ v a r	
1346	H	dense, thick (of woods or soup)	sűrű	sűrű	ʃ yː r yː	
1347	OH	dense, thick (of woods or soup)	šireü̯	šireü̯	ʃ i r ɛ w	
1348	EAH	dense, thick (of woods or soup)	čireγ	čireγ	t͡ʃ i r ɛ ɣ	
1349	WOT	dense, thick (of woods or soup)	čiräγ	čiräγ	t͡ʃ i r ɛ ɣ	
1507	H	depot	tár	tár	t aː r	
1508	EAH	depot	tavar	tavar	t a v a r	
1509	WOT	depot	tavar	tavar	t a v a r	
63	H	ditch, canal	árok	árok	aː r o k	
64	EAH	ditch, canal	āruk	āruk	aː r u k	
65	WOT	ditch, canal	aruk	aruk	a r u k	
816	H	do-less, do-little	kajtár	kajtár	k ɒ j t aː r	
1323	H	dogwood (tree), cornel, Cornus	som	som	ʃ o m	
1324	OH	dogwood (tree), cornel, Cornus	šum	šum	ʃ u m	
1325	EAH	dogwood (tree), cornel, Cornus	čum	čum	t͡ʃ u m	
1326	WOT	dogwood (tree), cornel, Cornus	čum	čum	t͡ʃ u m	
1327	H	dogwood (tree), cornel, Cornus	somlyó	somlyó	ʃ o m j oː	
1328	OH	dogwood (tree), cornel, Cornus	šomlyō	šomlyō	ʃ o m j oː	
1329	EAH	dogwood (tree), cornel, Cornus	šumluγ	šumluγ	ʃ u m l u ɣ	
1330	WOT	dogwood (tree), cornel, Cornus	čumluγ	čumluγ	t͡ʃ u m l u ɣ	
1273	H	draff, lees, dregs of wine	seprő	seprő	ʃ ɛ p r øː	
1274	OH	draff, lees, dregs of wine	čeprȫ	čeprȫ	t͡ʃ ɛ p r øː	
1275	EAH	draff, lees, dregs of wine	čöpreγ	čöpreγ	t͡ʃ ø p r ɛ ɣ	
1276	WOT	draff, lees, dregs of wine	čöpräγ	čöpräγ	t͡ʃ ø p r ɛ ɣ	
1277	H	draff, lees, dregs of wine	seprő	seprő	ʃ ɛ p r øː	
1278	OH	draff, lees, dregs of wine	čeprȫ	čeprȫ	t͡ʃ ɛ p r øː	
1279	EAH	draff, lees, dregs of wine	čöpreγ	čöpreγ	t͡ʃ ø p r ɛ ɣ	
1280	WOT	draff, lees, dregs of wine	čöprök	čöprök	t͡ʃ ø p r ø k	
612	H	drag-net, a kind of fishing net	gyalom	gyalom	ɟ ɒ l o m	
613	EAH	drag-net, a kind of fishing net	ǰalum	ǰalum	d͡ʒʲ a l u m	
614	WOT	drag-net, a kind of fishing net	ǰalïm	ǰalïm	d͡ʒʲ a l ɯ m	
1247	H	dragon	sárkány	sárkány	ʃ aː r k aː ɲ	
1248	EAH	dragon	šārkān	šārkān	ʃ aː r k aː n	
1249	WOT	dragon	šarakan	šarakan	ʃ a r a k a n	
997	H	dry stalk of weed	kóró	kóró	k oː r oː	
998	OH	dry stalk of weed	korou̯	korou̯	k o r o w	
999	EAH	dry stalk of weed	kuroγ	kuroγ	k u r o ɣ	
1000	WOT	dry stalk of weed	kowrog	kowrog	k o v r o ɡ	
1104	H	dry summer fog, rainbow	mónár köd	mónárköd	m oː n aː r k ø d	
1105	OH	dry summer fog, rainbow	mōnār	mōnār	m oː n aː r	
1106	EAH	dry summer fog, rainbow	munar	munar	m u n a r	
1107	WOT	dry summer fog, rainbow	munar	munar	m u n a r	
1192	H	eternal	örök	örök	ø r ø k	
1193	EAH	eternal	ürük	ürük	y r y k	
1194	WOT	eternal	ürük	ürük	y r y k	
1298	H	even, flat, open (water)	sík	sík	ʃ iː k	
1299	EAH	even, flat, open (water)	šik	šik	ʃ i k	
1300	WOT	even, flat, open (water)	šïk	šïk	ʃ ɯ k	
483	H	excellent; worthless	daksi	daksi	d ɒ k ʃ i	
484	EAH	excellent; worthless	ǰakši	ǰakši	d͡ʒʲ a k ʃ i	
1313	H	falcon	sólyom	sólyom	ʃ oː j o m	
1314	OH	falcon	šolʹom	šolʹom	ʃ o j o m	
1315	LAH	falcon	čawlim	čawlim	t͡ʃ a v l i m	
1316	EAH	falcon	čavli	čavli	t͡ʃ a v l i	
1317	WOT	falcon	čavlï	čavlï	t͡ʃ a v l ɯ	
1318	H	falcon	sólyom	sólyom	ʃ oː j o m	
1319	OH	falcon	šolʹom	šolʹom	ʃ o j o m	
1320	LAH	falcon	čawlim	čawlim	t͡ʃ a v l i m	
1321	EAH	falcon	čavli	čavli	t͡ʃ a v l i	
1322	WOT	falcon	čavlïm	čavlïm	t͡ʃ a v l ɯ m	
14	H	false, imitation	ál	ál	aː l	
15	EAH	false, imitation	āl	āl	aː l	
16	WOT	false, imitation	al	al	a l	
299	H	farewell, indulgence, dedication festival, annual parish-feast	búcsú	búcsú	b uː t͡ʃ uː	
300	OH	farewell, indulgence, dedication festival, annual parish-feast	bulčū	bulčū	b u l t͡ʃ uː	
301	LAH	farewell, indulgence, dedication festival, annual parish-feast	bulčū	bulčū	b u l t͡ʃ uː	
302	EAH	farewell, indulgence, dedication festival, annual parish-feast	bulčuγ	bulčuγ	b u l t͡ʃ u ɣ	
303	WOT	farewell, indulgence, dedication festival, annual parish-feast	bolčuγ	bolčuγ	b o l t͡ʃ u ɣ	
273	H	fast(ing)	böjt	böjt	b ø j t	
274	OH	fast(ing)	büχt	büχt	b y χ t	
275	EAH	fast(ing)	büγte	büγte	b y ɣ t ɛ	
276	WOT	fast(ing)	büγtä	büγtä	b y ɣ t ɛ	
1264	H	fast, quick	sebes	sebes	ʃ ɛ b ɛ ʃ	
1265	EAH	fast, quick	šeb	šeb	ʃ ɛ b	
1266	WOT	fast, quick	šip	šip	ʃ i p	
1691	H	feast	ünnep	ünnep	y nː ɛ p	
1692	OH	feast	üdnep	üdnep	y d n ɛ p	
1693	LAH	feast	idnep	idnep	i d n ɛ p	
1694	EAH	feast	idnap	idnap	i d n a p	
1695	WOT	feast	edü	edü	ɛ d y	
458	H	feast, christening feast (at baptism)	csök	csök	t͡ʃ ø k	
459	EAH	feast, christening feast (at baptism)	čük	čük	t͡ʃ y k	
460	WOT	feast, christening feast (at baptism)	čök	čök	t͡ʃ ø k	
949	H	felt	kíjc	kíjc	k iː j t͡s	
950	OH	felt	kīyc	kīyc	k iː j t͡s	
951	LAH	felt	kiyic	kiyic	k i j i t͡s	
952	EAH	felt	kiyiz	kiyiz	k i j i z	
469	H	field-guard; herald; Turkish envoy	csősz	csősz	t͡ʃ øː s	
470	EAH	field-guard; herald; Turkish envoy	čäüš	čäüš	t͡ʃ ɛ y ʃ	
471	WOT	field-guard; herald; Turkish envoy	čäwiš	čäwiš	t͡ʃ ɛ v i ʃ	
384	H	fighting, troop, army group, battle, quarrel, hubbub, flock	csata	csata	t͡ʃ ɒ t ɒ	
385	EAH	fighting, troop, army group, battle, quarrel, hubbub, flock	čata	čata	t͡ʃ a t a	
386	WOT	fighting, troop, army group, battle, quarrel, hubbub, flock	čata	čata	t͡ʃ a t a	
387	H	fighting, troop, army group, battle, quarrel, hubbub, flock	csata	csata	t͡ʃ ɒ t ɒ	
388	EAH	fighting, troop, army group, battle, quarrel, hubbub, flock	čata	čata	t͡ʃ a t a	
389	WOT	fighting, troop, army group, battle, quarrel, hubbub, flock	čatï	čatï	t͡ʃ a t ɯ	
1736	H	fishweir	vejsze	vejsze	v ɛ j s ɛ	
1737	EAH	fishweir	veyseγ	veyseγ	v ɛ j s ɛ ɣ	
1738	WOT	fishweir	väyśäγ	väyśäγ	v ɛ j s ɛ ɣ	
1226	H	flood, deluge, stream	özön	özön	ø z ø n	
1227	EAH	flood, deluge, stream	üzen	üzen	y z ɛ n	
1228	WOT	flood, deluge, stream	özän	özän	ø z ɛ n	
1256	H	footwear, sandals	saru	saru	ʃ ɒ r u	
1257	OH	footwear, sandals	šarū	šarū	ʃ a r uː	
1258	EAH	footwear, sandals	čaruγ	čaruγ	t͡ʃ a r u ɣ	
1259	WOT	footwear, sandals	čaruγ	čaruγ	t͡ʃ a r u ɣ	
1412	H	freckle, sun spot, stain	szeplő	szeplő	s ɛ p l øː	
1413	EAH	freckle, sun spot, stain	sepleγ	sepleγ	s ɛ p l ɛ ɣ	
1414	WOT	freckle, sun spot, stain	säpliγ	säpliγ	s ɛ p l i ɣ	
1011	H	frock, sheepskin waistcoat	ködmön	ködmön	k ø d m ø n	
1012	EAH	frock, sheepskin waistcoat	kedmen	kedmen	k ɛ d m ɛ n	
1013	WOT	frock, sheepskin waistcoat	kädmän	kädmän	k ɛ d m ɛ n	
1014	H	frock, sheepskin waistcoat	ködmen	ködmen	k ø d m ɛ n	
1015	EAH	frock, sheepskin waistcoat	kedmen	kedmen	k ɛ d m ɛ n	
1016	WOT	frock, sheepskin waistcoat	kädmän	kädmän	k ɛ d m ɛ n	
113	H	frog	béka	béka	b eː k ɒ	
114	EAH	frog	baka	baka	b a k a	
115	WOT	frog	baka	baka	b a k a	
731	H	fruit	gyümölcs	gyümölcs	ɟ y m ø l t͡ʃ	
732	OH	fruit	dʹömölč	dʹömölč	ɟ ø m ø l t͡ʃ	
733	LAH	fruit	dʹemilč	dʹemilč	ɟ ɛ m i l t͡ʃ	
734	EAH	fruit	ǰemilč	ǰemilč	d͡ʒʲ ɛ m i l t͡ʃ	
735	WOT	fruit	ǰemilč	ǰemilč	d͡ʒʲ ɛ m i l t͡ʃ	
1421	H	fumes, vapour, spirits, alcohol, humours	szesz	szesz	s ɛ s	
1422	EAH	fumes, vapour, spirits, alcohol, humours	sis	sis	s i s	
1423	WOT	fumes, vapour, spirits, alcohol, humours	sis	sis	s i s	
1469	H	furrier	szűcs	szűcs	s yː t͡ʃ	
1470	OH	furrier	seü̯či	seü̯či	s ɛ w t͡ʃ i	
1471	LAH	furrier	siwči	siwči	s i v t͡ʃ i	
1472	EAH	furrier	śiγči	śiγči	s i ɣ t͡ʃ i	
1473	WOT	furrier	čiγči	čiγči	t͡ʃ i ɣ t͡ʃ i	
1750	H	gable, frontispiece	vértelek	vértelek	v eː r t ɛ l ɛ k	
1751	EAH	gable, frontispiece	vertelük	vertelük	v ɛ r t ɛ l y k	
1752	WOT	gable, frontispiece	vertülük	vertülük	v ɛ r t y l y k	
924	H	garden, place for animals	kert	kert	k ɛ r t	
925	EAH	garden, place for animals	kerte	kerte	k ɛ r t ɛ	
926	WOT	garden, place for animals	kärtä	kärtä	k ɛ r t ɛ	
854	H	gate	kapu	kapu	k ɒ p u	
855	OH	gate	kapū	kapū	k a p uː	
856	EAH	gate	kapuγ	kapuγ	k a p u ɣ	
857	WOT	gate	kapuγ	kapuγ	k a p u ɣ	
72	H	gauntry, gantry (for supporting barrels)	ászok	ászok	aː s o k	
73	OH	gauntry, gantry (for supporting barrels)	ask	ask	a s k	
74	EAH	gauntry, gantry (for supporting barrels)	aski	aski	a s k i	
75	WOT	gauntry, gantry (for supporting barrels)	askï	askï	a s k ɯ	
1683	H	gentleman, lord, sir, high dignity, Lord (also of a king or of God)	úr	úr	uː r	
1684	EAH	gentleman, lord, sir, high dignity, Lord (also of a king or of God)	uri	uri	u r i	
1685	WOT	gentleman, lord, sir, high dignity, Lord (also of a king or of God)	urï	urï	u r ɯ	
603	H	gleaner mouse, Mus spicilegus	güzü	güzü	ɡ y z y	
604	OH	gleaner mouse, Mus spicilegus	güzǖ	güzǖ	ɡ y z yː	
605	LAH	gleaner mouse, Mus spicilegus	küzeγü	küzeγü	k y z ɛ ɣ y	
606	EAH	gleaner mouse, Mus spicilegus	küseγü	küseγü	k y s ɛ ɣ y	
607	WOT	gleaner mouse, Mus spicilegus	küsäγü	küsäγü	k y s ɛ ɣ y	
985	H	gloomy, grave, morose, sombre, dull-coloured; not properly castrated	komor	komor	k o m o r	
986	EAH	gloomy, grave, morose, sombre, dull-coloured; not properly castrated	komur	komur	k o m u r	
987	WOT	gloomy, grave, morose, sombre, dull-coloured; not properly castrated	komur	komur	k o m u r	
894	H	goat, Capra hircus	kecske	kecske	k ɛ t͡ʃ k ɛ	
895	EAH	goat, Capra hircus	kečeke	kečeke	k ɛ t͡ʃ ɛ k ɛ	
896	WOT	goat, Capra hircus	käčäkä	käčäkä	k ɛ t͡ʃ ɛ k ɛ	
963	H	gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat	kobak	kobak	k o b ɒ k	
964	EAH	gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat	kåbåk	kåbåk	k ɒ b ɒ k	
88	H	governor of Croatia, governor of the southern marches	bán	bán	b aː n	
89	WOT	governor of Croatia, governor of the southern marches	bayan	bayan	b a j a n	
133	H	grain or small globule of preciousmetal	bertű	bertű	b ɛ r t yː	
134	OH	grain or small globule of preciousmetal	börtǖ	börtǖ	b ø r t yː	
135	LAH	grain or small globule of preciousmetal	börteü̯	börteü̯	b ø r t ɛ w	
136	EAH	grain or small globule of preciousmetal	bürtiγ	bürtiγ	b y r t i ɣ	
137	WOT	grain or small globule of preciousmetal	bürtiγ	bürtiγ	b y r t i ɣ	
1457	H	grape, wine grape, Vitis vinifer	szőlő	szőlő	s øː l øː	
1458	OH	grape, wine grape, Vitis vinifer	seleγ	seleγ	s ɛ l ɛ ɣ	
1459	EAH	grape, wine grape, Vitis vinifer	śeleγ	śeleγ	s ɛ l ɛ ɣ	
1460	WOT	grape, wine grape, Vitis vinifer	čeleγ	čeleγ	t͡ʃ ɛ l ɛ ɣ	
1461	H	grape, wine grape, Vitis vinifer	szöllő	szöllő	s ø lː øː	
1462	OH	grape, wine grape, Vitis vinifer	selleγ	selleγ	s ɛ lː ɛ ɣ	
1463	EAH	grape, wine grape, Vitis vinifer	śeleγ	śeleγ	s ɛ l ɛ ɣ	
1464	WOT	grape, wine grape, Vitis vinifer	čeleγ	čeleγ	t͡ʃ ɛ l ɛ ɣ	
1448	H	grasshopper	szöcske	szöcske	s ø t͡ʃ k ɛ	
1449	OH	grasshopper	sökče	sökče	s ø k t͡ʃ ɛ	
1450	LAH	grasshopper	sökśȫ	sökśȫ	s ø k s øː	
1451	EAH	grasshopper	sek	sek	s ɛ k	
1452	WOT	grasshopper	sek	sek	s ɛ k	
487	H	grist, groats, soft hail	dara	dara	d ɒ r ɒ	
488	EAH	grist, groats, soft hail	dara	dara	d a r a	
489	WOT	grist, groats, soft hail	tarï	tarï	t a r ɯ	
490	H	grist, groats, soft hail	dara	dara	d ɒ r ɒ	
491	EAH	grist, groats, soft hail	dara	dara	d a r a	
492	WOT	grist, groats, soft hail	darï	darï	d a r ɯ	
1392	H	grocer, grand handler	szatócs	szatócs	s ɒ t oː t͡ʃ	
1393	OH	grocer, grand handler	satōč	satōč	s a t oː t͡ʃ	
1394	LAH	grocer, grand handler	satiwči	satiwči	s a t i v t͡ʃ i	
1395	EAH	grocer, grand handler	satiγči	satiγči	s a t i ɣ t͡ʃ i	
1396	WOT	grocer, grand handler	satïγčï	satïγčï	s a t ɯ ɣ t͡ʃ ɯ	
1701	H	ground squirrel, Citellus citellus	irge	irge	i r ɡ ɛ	
1702	EAH	ground squirrel, Citellus citellus	ürge	ürge	y r ɡ ɛ	
1703	WOT	ground squirrel, Citellus citellus	örgä	örgä	ø r ɡ ɛ	
1704	H	ground squirrel, Citellus citellus	ürge	ürge	y r ɡ ɛ	
1705	EAH	ground squirrel, Citellus citellus	ürge	ürge	y r ɡ ɛ	
1706	WOT	ground squirrel, Citellus citellus	örgä	örgä	ø r ɡ ɛ	
1745	H	guest	vendég	vendég	v ɛ n d eː ɡ	
1746	EAH	guest	vendeg	vendeg	v ɛ n d ɛ ɡ	
1747	WOT	guest	vändäg	vändäg	v ɛ n d ɛ ɡ	
819	H	guide, pilot; conductor, ticket inspector	kalauz	kalauz	k ɒ l ɒ u z	
820	EAH	guide, pilot; conductor, ticket inspector	kalauz	kalauz	k a l a u z	
821	H	guide, pilot; conductor, ticket inspector	kalóz	kalóz	k ɒ l oː z	
822	EAH	guide, pilot; conductor, ticket inspector	kalauz	kalauz	k a l a u z	
823	WOT	guide, pilot; conductor, ticket inspector	kolavuz	kolavuz	k o l a v u z	
93	H	hairy, bushy (of dogs); a big hairy dog (as noun)	barág	barág	b ɒ r aː ɡ	
94	EAH	hairy, bushy (of dogs); a big hairy dog (as noun)	barag	barag	b a r a ɡ	
1561	H	hall, chamber, great room	terem	terem	t ɛ r ɛ m	
1562	EAH	hall, chamber, great room	terem	terem	t ɛ r ɛ m	
1563	WOT	hall, chamber, great room	terem	terem	t ɛ r ɛ m	
82	H	hatchet, axe	balta	balta	b ɒ l t ɒ	
83	EAH	hatchet, axe	balta	balta	b a l t a	
84	WOT	hatchet, axe	balta	balta	b a l t a	
757	H	hawk	herjó	herjó	h ɛ r j oː	
758	EAH	hawk	xirγuy	xirγuy	k s i r ɣ u j	
759	WOT	hawk	χїrγuy	χїrγuy	χ ɯ r ɣ u j	
1175	H	hawk, buzzard, Buteo buteo	ölyv	ölyv	ø j v	
1176	OH	hawk, buzzard, Buteo buteo	ölʹü	ölʹü	ø j y	
1177	EAH	hawk, buzzard, Buteo buteo	eliγ	eliγ	ɛ l i ɣ	
1178	WOT	hawk, buzzard, Buteo buteo	eliγ	eliγ	ɛ l i ɣ	
736	H	hawthorn, a plant similar to the whitethorn, or elder	gyümölcsény	gyümölcsény	ɟ y m ø l t͡ʃ eː ɲ	
737	OH	hawthorn, a plant similar to the whitethorn, or elder	dʹemilčen	dʹemilčen	ɟ ɛ m i l t͡ʃ ɛ n	
738	EAH	hawthorn, a plant similar to the whitethorn, or elder	ǰemilčen	ǰemilčen	d͡ʒʲ ɛ m i l t͡ʃ ɛ n	
739	WOT	hawthorn, a plant similar to the whitethorn, or elder	ǰemilčen	ǰemilčen	d͡ʒʲ ɛ m i l t͡ʃ ɛ n	
1696	H	heifer, roe doe	ünő	ünő	y n øː	
1697	OH	heifer, roe doe	inȫ	inȫ	i n øː	
1698	LAH	heifer, roe doe	ineü	ineü	i n ɛ y	
1699	EAH	heifer, roe doe	ineγ	ineγ	i n ɛ ɣ	
1700	WOT	heifer, roe doe	inäγ	inäγ	i n ɛ ɣ	
1567	H	hemp breaker, swingle, scutch	tiló	tiló	t i l oː	
1568	OH	hemp breaker, swingle, scutch	talō	talō	t a l oː	
1569	EAH	hemp breaker, swingle, scutch	talkiγ	talkiγ	t a l k i ɣ	
1570	WOT	hemp breaker, swingle, scutch	talkïγ	talkïγ	t a l k ɯ ɣ	
904	H	hemp, Cannabis	kender	kender	k ɛ n d ɛ r	
905	EAH	hemp, Cannabis	kendir	kendir	k ɛ n d i r	
906	WOT	hemp, Cannabis	kändir	kändir	k ɛ n d i r	
1675	H	hen	tyúk	tyúk	c uː k	
1676	OH	hen	tiuk	tiuk	t i u k	
1677	LAH	hen	tiwuk	tiwuk	t i v u k	
1678	EAH	hen	tiγuk	tiγuk	t i ɣ u k	
1679	WOT	hen	tiγuk	tiγuk	t i ɣ u k	
116	H	hobble, shackle, leg-iron	békó	békó	b eː k oː	
117	EAH	hobble, shackle, leg-iron	bikaγu	bikaγu	b i k a ɣ u	
118	WOT	hobble, shackle, leg-iron	bïkaγu	bïkaγu	b ɯ k a ɣ u	
119	H	hobble, shackle, leg-iron	béklyó	béklyó	b eː k j oː	
120	EAH	hobble, shackle, leg-iron	bikaγu	bikaγu	b i k a ɣ u	
121	WOT	hobble, shackle, leg-iron	bïkaγu	bïkaγu	b ɯ k a ɣ u	
976	H	hops, Humulus lupulus	komló	komló	k o m l oː	
977	OH	hops, Humulus lupulus	kumlau̯	kumlau̯	k u m l a w	
978	EAH	hops, Humulus lupulus	kumlaγ	kumlaγ	k u m l a ɣ	
979	WOT	hops, Humulus lupulus	kumlaγ	kumlaγ	k u m l a ɣ	
674	H	hornbeam, Carpinus betulus	gyertyán	gyertyán	ɟ ɛ r c aː n	according to the corrigenda-section on p. 1494 I changed 'dʹertʹān < *ǰartān < *ǰartaγan ← WOT *ǰartaγan' to 'dʹertʹān < *ǰartān < *ǰartaγan ← WOT *yartaγan'
675	OH	hornbeam, Carpinus betulus	ǰartān	ǰartān	d͡ʒʲ a r t aː n	according to the corrigenda-section on p. 1494 I changed 'dʹertʹān < *ǰartān < *ǰartaγan ← WOT *ǰartaγan' to 'dʹertʹān < *ǰartān < *ǰartaγan ← WOT *yartaγan'
