sc	src	tgt	freq	CogID	forms
ʃ t͡ʃ	ʃ	t͡ʃ	23	35, 70, 71, 171, 172, 280, 281, 285, 299, 304, 321, 344, 346, 347, 365, 371, 373, 374, 381, 390, 392, 398, 438	bársony barčun, bors burč, borsó burčaγ, es ičü, eskü ičkü, keselyű küčeleγ, kés kēč, kis kičiγ, koporsó kopurčaγ, kos koč, kőris kewrič, orsó určuγ, orvos urvoči, os alčuk, sajt čaγt, sarló čarlaγ, saru čaruγ, sátor čatur, sereg čärig, sólyo čavli, som čum, sűrű čireγ, táltos taltuči
e ɛ	e	ɛ	2	38, 194	bëcsül bečel, gyënge ǰenge
y ɛ	y	ɛ	5	38, 216, 217, 493, 498	bëcsül bečel, gyümölcs ǰemilč, gyümölcsény ǰemilčen, üdü edü, üröm erim
eː a	eː	a	1	39	béka baka
eː i	eː	i	6	40, 41, 261, 359, 380, 417	békó bikaγu, béklyó bikaγu, karambél karampil, őrém eγrim, sér šir, szép sip
oː a.ɣ.u	oː	a.ɣ.u	3	40, 41, 336	békó bikaγu, béklyó bikaγu, ól aγul
j -	j	-	5	41, 59, 60, 69, 83	béklyó bikaγu, boglya bogul, bojt buγut, borjú buraγu, böjt büγte
eː ɛ	eː	ɛ	25	42, 86, 107, 166, 167, 173, 177, 179, 193, 217, 273, 288, 308, 323, 332, 354, 361, 413, 474, 475, 480, 508, 509, 511	bélyeg beleg, bölény belen, cötkény sütken, ér er, érdem erdem, ész es, gödény güden, görény güren, gyékény ǰeken, gyümölcsény ǰemilčen, kéneső kenešǖ, kiköcsény kükerčen, kökény köken, körtvély kertβeli, nyögér nöger, örmény ermeni, örmény örmen, szék sekü, töké tüke, tömén tümen, törvény türüγen, vék vekü, vendég vendeg, vértelek vertelük
j l	j	l	15	42, 61, 65, 82, 105, 280, 311, 312, 323, 390, 393, 397, 455, 467, 505	bélyeg beleg, bojtorján balturγan, boly boγol, bögöly bögölök, csigolya čigla, keselyű küčeleγ, kölyök külek, kölyű keliγ, körtvély kertβeli, sólyo čavli, somlyó šumluγ, süly šiγül, tengely tengel, toklyó toklu, vályú valaγ
ɛ ɛ	ɛ	ɛ	62	42, 44, 46, 47, 100, 162, 163, 167, 168, 169, 170, 174, 194, 196, 197, 198, 227, 228, 269, 271, 272, 273, 275, 279, 280, 287, 307, 318, 319, 375, 381, 382, 383, 395, 415, 418, 419, 450, 451, 452, 454, 455, 456, 460, 461, 481, 497, 503, 506, 509, 511, 512	bélyeg beleg, bercel bersil, bese beše, besenyő bešeneγ, cigle čigle, eke ekeγ, eng eng, érdem erdem, erkölcs erkelč, erny erin, erő eriγ, etel etil, gyënge ǰenge, gyepű ǰepiγ, gyep ǰepi, gyermek ǰärmäk, ige üge, igen egen, kecske kečeke, kelengye kälinčäγ, kender kendir, kéneső kenešǖ, kepe kepeγ, kert kerte, keselyű küčeleγ, kikerics kükerilč, ködmen kedmen, köpec köpek, köpönyek kepenek, seb šeb, sereg čärig, serke širke, serleg šerleg, sőreg ševrege, szend sen, szeplő sepleγ, szer śer, teker teker, teknő tekeneγ, telek telük, tengődik teng, tengely tengel, tenger teŋir, terem terem, teve teve, tőzeg tözek, ürge ürge, üvecs öveč, vejsze veyseγ, vendég vendeg, vértelek vertelük, zerge serge
eː eː	eː	eː	4	43, 277, 281, 414	bér bērü, kér kēr, kés kēč, szél sēl
- y	-	y	7	43, 171, 182, 208, 413, 478, 508	bér bērü, es ičü, güzü küseγü, gyöngy ǰinǰü, szék sekü, török türkü, vék vekü
ɛ i	ɛ	i	22	44, 48, 124, 130, 165, 171, 172, 174, 195, 223, 229, 231, 271, 272, 376, 377, 381, 382, 384, 421, 456	bercel bersil, betű bitiγ, csekél čik, csiger čigir, enő ineγ, es ičü, eskü ičkü, etel etil, gyeplő ǰipliγ, herjó xirγuy, ije äyi, iker ikir, kelengye kälinčäγ, kender kendir, seper šipir, seprű šipiriγ, sereg čärig, serke širke, sert širt, szesz sis, tenger teŋir
ɛ y	ɛ	y	4	45, 280, 452, 511	bertű bürtiγ, keselyű küčeleγ, telek telük, vértelek vertelük
yː i.ɣ	yː	i.ɣ	7	45, 48, 196, 312, 377, 399, 434	bertű bürtiγ, betű bitiγ, gyepű ǰepiγ, kölyű keliγ, seprű šipiriγ, sű siγ, szűcs śiγči
ʃ ʃ	ʃ	ʃ	25	46, 47, 146, 202, 273, 367, 369, 370, 372, 375, 376, 377, 380, 382, 383, 384, 385, 386, 387, 388, 393, 394, 395, 396, 397	bese beše, besenyő bešeneγ, daksi ǰakši, gyilkos ǰilkuš, kéneső kenešǖ, sár šar, sárga šarug, sárkány šārkān, sárma šarmaγ, seb šeb, seper šipir, seprű šipiriγ, sér šir, serke širke, serleg šerleg, sert širt, sík šik, sima šima, sió šiu, sé šiu, somlyó šumluγ, sör šere, sőreg ševrege, süllő šilleγ, süly šiγül
øː ɛ.ɣ	øː	ɛ.ɣ	14	47, 81, 85, 165, 226, 278, 322, 328, 359, 396, 418, 431, 451, 495	besenyő bešeneγ, bő beγ, bölcső belčeγ, enő ineγ, idő üdeγ, kérő kevereγ, kőrő kevreγ, küllő külleγ, őrém eγrim, süllő šilleγ, szeplő sepleγ, szőlő śeleγ, teknő tekeneγ, ünő ineγ
i i	i	i	23	49, 52, 53, 100, 105, 115, 130, 146, 154, 202, 231, 232, 233, 238, 244, 282, 285, 296, 321, 386, 387	bicsak bičak, bika bika, bilincs bileček, cigle čigle, csigolya čigla, csalit čalit, csiger čigir, daksi ǰakši, disznó ǰisnaγ, gyilkos ǰilkuš, iker ikir, ildom ildam, ill il, izzi isi, káliz kaliz, kicsiny kičin, kis kičiγ, komócsin kåmičin, kőris kewrič, sima šima, sió šiu
i ɛ	i	ɛ	3	53, 228, 229	bilincs bileček, igen egen, ije äyi
n -	n	-	1	53	bilincs bileček
- ɛ.k	-	ɛ.k	1	53	bilincs bileček
iː i	iː	i	7	54, 236, 237, 252, 286, 385, 422	bíró biruγ, ír ir, író iraγ, kangyíka kåndʹikå, kíjc kiyiz, sík šik, szín sin
o o.l	o	o.l	1	55	bocsán bolčan
o u.l	o	u.l	1	56	bocsát bulčat
oː a.l	oː	a.l	1	57	bóda baldaw
d d	d	d	21	57, 135, 147, 148, 149, 151, 155, 157, 167, 177, 226, 232, 272, 292, 297, 306, 307, 310, 339, 493, 509	bóda baldaw, csődör čeü̯dür, daku daku, dara dara, dara dara, dél döli, dől dül, dug dïg, érdem erdem, gödény güden, idő üdeγ, ildom ildam, kender kendir, koldu koldu, komondor kumandur, ködmön kedmen, ködmen kedmen, köldök kindik, ondó undaγ, üdü edü, vendég vendeg
ɒ a.w	ɒ	a.w	1	57	bóda baldaw
ɒ u.l	ɒ	u.l	1	59	boglya bogul
o u.ɣ.u.	o	u.ɣ.u.	1	60	bojt buγut
o a	o	a	9	61, 62, 73, 232, 264, 297, 305, 485	bojtorján balturγan, boka baka, boszorkány basarkan, ildom ildam, kárókaton karakotan, komondor kumandur, kozma kasmaγ, túzok toγzak
j ɣ	j	ɣ	6	61, 186, 223, 365, 448, 464	bojtorján balturγan, gyapjú ǰapγu, herjó xirγuy, sajt čaγt, tátorján taturγan, toj tuγ
ɒ ɒ	ɒ	ɒ	5	64, 252, 290	bakan båkå, kangyíka kåndʹikå, kobak kåbåk
o o.ɣ.o	o	o.ɣ.o	1	65	boly boγol
u u	u	u	12	68, 78, 91, 92, 95, 147, 225, 242, 292, 327, 482, 491	bur bur, but butiγ, buga buga, bular bular, buzogány buzgan, daku daku, hurok urok, kalauz kalauz, koldu koldu, kuvasz kuwaz, tulok tukol, ug ugu
uː a.ɣ.u	uː	a.ɣ.u	1	69	borjú buraγu
oː a.ɣ	oː	a.ɣ	12	71, 152, 154, 237, 295, 299, 337, 338, 339, 371, 445, 483	borsó burčaγ, dió ǰiγaγ, disznó ǰisnaγ, író iraγ, komló kumlaγ, koporsó kopurčaγ, olcsó učaγ, olló oγlaγ, ondó undaγ, sarló čarlaγ, tarló tarlaγ, túró toraγ
z s	z	s	4	72, 182, 305, 512	borz borsi, güzü küseγü, kozma kasmaγ, zerge serge
sː s	sː	s	2	74, 75	bosszan busan, bosszú bosuγ
uː u.ɣ	uː	u.ɣ	3	75, 90, 94	bosszú bosuγ, búcsú bulčuγ, búza buγzai
- i.ɣ	-	i.ɣ	3	76, 78, 285	bot butiγ, but butiγ, kis kičiγ
z z	z	z	14	80, 94, 95, 176, 210, 242, 243, 244, 267, 291, 364, 437, 481, 485	boza boza, búza buγzai, buzogány buzgan, gaz kaγzu, győz ǰeγüz, kalauz kalauz, kalóz kalauz, káliz kaliz, kazár kazar, koboz koboz, özön üzen, szűz süzök, tőzeg tözek, túzok toγzak
ø ø	ø	ø	11	82, 308, 313, 317, 318, 332, 361, 479	bögöly bögölök, kökény köken, kömődörög kömöndörök, köpcös köpčeγ, köpec köpek, nyögér nöger, örmény örmen, történ törtün
- ø.k	-	ø.k	2	82, 437	bögöly bögölök, szűz süzök
ø y.ɣ	ø	y.ɣ	1	83	böjt büγte
- ɛ	-	ɛ	4	83, 279, 394, 395	böjt büγte, kert kerte, sör šere, sőreg ševrege
ø y.ɣ.y	ø	y.ɣ.y	2	84, 476	bölcs büγüči, tör tüγür
l -	l	-	4	84, 215, 337, 471	bölcs büγüči, gyűlöl ǰeγile, olcsó učaγ, torli toro
ø ɛ	ø	ɛ	23	85, 86, 87, 168, 215, 306, 307, 309, 311, 312, 319, 323, 325, 350, 354, 364, 394, 429, 430, 487	bölcső belčeγ, bölény belen, börtön berten, erkölcs erkelč, gyűlöl ǰeγile, ködmön kedmen, ködmen kedmen, kölcsön külčen, kölyök külek, kölyű keliγ, köpönyek kepenek, körtvély kertβeli, köszön küsen, ölyv eliγ, örmény ermeni, özön üzen, sör šere, szöcsk sek, szök sek, tükör tüker
uː u	uː	u	6	89, 143, 186, 211, 440, 492	bús buγ, csúnya čunaγ, gyapjú ǰapγu, gyúl ǰul, tanú tanu, úr uri
ʃ ɣ	ʃ	ɣ	1	89	bús buγ
uː u.l	uː	u.l	1	90	búcsú bulčuγ
uː uː	uː	uː	1	93	búsz būs
y i	y	i	8	96, 357, 396, 400, 495, 500, 501, 502	bükk bik, őrül evril, süllő šilleγ, süv siγ, ünő ineγ, ürü iriγ, üszök isüg, üszög isüg
kː k	kː	k	1	96	bükk bik
yː yː	yː	yː	1	97	bűn bǖn
y y	y	y	8	98, 172, 181, 182, 328, 487, 493, 497	bütü bütüγ, eskü ičkü, gügyű küdeγü, güzü küseγü, küllő külleγ, tükör tüker, üdü edü, ürge ürge
y y.ɣ	y	y.ɣ	1	98	bütü bütüγ
yː y.ɣ.y	yː	y.ɣ.y	1	99	bű büγü
t͡s t͡ʃ	t͡s	t͡ʃ	2	100, 317	cigle čigle, köpcös köpčeγ
ø y	ø	y	25	107, 135, 138, 141, 177, 179, 209, 309, 311, 315, 320, 325, 348, 351, 355, 364, 474, 475, 478, 480, 501, 502	cötkény sütken, csődör čeü̯dür, csök čük, csököny čükün, gödény güden, görény güren, gyötör ǰitür, kölcsön külčen, kölyök külek, könyv küńüγ, köpű küpüγ, köszön küsen, ökör ükür, ön ün, örök ürük, özön üzen, töké tüke, tömén tümen, török türkü, törvény türüγen, üszök isüg, üszög isüg
eː e	eː	e	1	122	csécs čëč
ɛ ø	ɛ	ø	3	125, 314	csepű čöpüγ, kentreg kömöndörök
yː y.ɣ	yː	y.ɣ	6	125, 219, 220, 320, 420	csepű čöpüγ, gyűrű ǰürüγ, gyűszű ǰüγsüγ, köpű küpüγ, szérű sürüγ
i ɯ	i	ɯ	1	129	csiga čïga
i a	i	a	2	132, 463	csipa čapaγ, tinó tana
ɒ a.ɣ	ɒ	a.ɣ	6	132, 143, 176, 305, 372, 402	csipa čapaγ, csúnya čunaγ, gaz kaγzu, kozma kasmaγ, sárma šarmaγ, szaka sakaγ
øː ɛ.w	øː	ɛ.w	5	135, 321, 322, 357, 395	csődör čeü̯dür, kőris kewrič, kőrő kevreγ, őrül evril, sőreg ševrege
øː ɛ.y	øː	ɛ.y	1	142	csősz čäüš
s ʃ	s	ʃ	1	142	csősz čäüš
yː ɛ.w.y	yː	ɛ.w.y	1	144	csűr čevür
d d͡ʒʲ	d	d͡ʒʲ	3	146, 152, 154	daksi ǰakši, dió ǰiγaγ, disznó ǰisnaγ
d t	d	t	1	150	dél töli
eː ø	eː	ø	2	150, 151	dél töli, dél döli
i i.ɣ	i	i.ɣ	1	152	dió ǰiγaγ
øː y	øː	y	1	155	dől dül
u ɯ	u	ɯ	2	157, 484	dug dïg, turul tuγrïl
ɛ ɛ.ɣ	ɛ	ɛ.ɣ	4	162, 271, 275, 506	eke ekeγ, kelengye kälinčäγ, kepe kepeγ, vejsze veyseγ
ŋ ŋ	ŋ	ŋ	8	163, 194, 222, 266, 427, 454, 455, 456	eng eng, gyënge ǰenge, harang hangar, katáng katāng, szongor sonkor, tengődik teng, tengely tengel, tenger teŋir
øː i.ɣ	øː	i.ɣ	2	170, 195	erő eriγ, gyeplő ǰipliγ
ɡ k	ɡ	k	8	176, 181, 182, 313, 314, 427, 433, 481	gaz kaγzu, gügyű küdeγü, güzü küseγü, kömődörög kömöndörök, kentreg kömöndörök, szongor sonkor, szúnyog sinuk, tőzeg tözek
- u	-	u	3	176, 466, 491	gaz kaγzu, tok toku, ug ugu
yː ɛ.ɣ.y	yː	ɛ.ɣ.y	1	181	gügyű küdeγü
y ɛ.ɣ	y	ɛ.ɣ	1	182	güzü küseγü
ɟ d͡ʒʲ	ɟ	d͡ʒʲ	34	183, 184, 185, 186, 187, 188, 190, 191, 192, 193, 194, 195, 196, 197, 198, 200, 201, 202, 203, 204, 205, 207, 208, 209, 210, 211, 212, 213, 215, 216, 217, 219, 220	gyalá ǰala, gyalom ǰalum, gyanú ǰonaγ, gyapjú ǰapγu, gyapot ǰaput, gyarap ǰarpa, gyarló ǰarlïγ, gyárt ǰarat, gyász ǰas, gyékény ǰeken, gyënge ǰenge, gyeplő ǰipliγ, gyepű ǰepiγ, gyep ǰepi, gyermek ǰärmäk, gyertya ǰarta, gyertyán ǰartaγan, gyilkos ǰilkuš, gyom ǰom, gyomor ǰumur, gyón ǰūn, gyopár ǰïpar, gyöngy ǰinǰü, gyötör ǰitür, győz ǰeγüz, gyúl ǰul, gyúr ǰuγur, gyűl ǰiγil, gyűlöl ǰeγile, gyümölcs ǰemilč, gyümölcsény ǰemilčen, gyűrű ǰürüγ, gyűszű ǰüγsüγ
ɒ -	ɒ	-	2	188, 369	gyarap ǰarpa, sárga šarug
- a	-	a	1	188	gyarap ǰarpa
oː ɯ.ɣ	oː	ɯ.ɣ	1	190	gyarló ǰarlïγ
r r.a	r	r.a	1	191	gyárt ǰarat
ɛ a	ɛ	a	2	200, 201	gyertya ǰarta, gyertyán ǰartaγan
c t	c	t	3	200, 201, 490	gyertya ǰarta, gyertyán ǰartaγan, tyúk tiγuk
oː uː	oː	uː	1	205	gyón ǰūn
o ɯ	o	ɯ	1	207	gyopár ǰïpar
ø i	ø	i	8	208, 209, 216, 217, 310, 349, 498	gyöngy ǰinǰü, gyötör ǰitür, gyümölcs ǰemilč, gyümölcsény ǰemilčen, köldök kindik, ölt ilt, üröm erim
øː ɛ.ɣ.y	øː	ɛ.ɣ.y	1	210	győz ǰeγüz
uː u.ɣ.u	uː	u.ɣ.u	1	212	gyúr ǰuγur
yː i.ɣ.i	yː	i.ɣ.i	1	213	gyűl ǰiγil
yː ɛ.ɣ.i	yː	ɛ.ɣ.i	1	215	gyűlöl ǰeγile
yː y	yː	y	4	219, 436, 437, 488	gyűrű ǰürüγ, szűr sür, szűz süzök, tűr tür
h h	h	h	3	221, 222, 224	hajó hayiγ, harang hangar, homok humoki
oː i.ɣ	oː	i.ɣ	3	221, 412, 462	hajó hayiγ, szatócs satiγči, tiló talkiγ
h x	h	x	1	223	herjó xirγuy
oː u.j	oː	u.j	1	223	herjó xirγuy
h -	h	-	1	225	hurok urok
i y	i	y	5	226, 227, 235, 287, 288	idő üdeγ, ige üge, ing ümmeg, kikerics kükerilč, kiköcsény kükerčen
lː l	lː	l	3	233, 338, 403	ill il, olló oγlaγ, szakáll sakal
i w.i	i	w.i	1	234	im vim
ŋ mː.ɛ.ɡ	ŋ	mː.ɛ.ɡ	1	235	ing ümmeg
zː s	zː	s	1	238	izzi isi
oː a.u	oː	a.u	1	243	kalóz kalauz
l r.l	l	r.l	1	245	kalokány karlukan
ɟ ɟ	ɟ	ɟ	1	252	kangyíka kåndʹikå
ɲ m	ɲ	m	2	254, 423	kanyaró karamuγ, szirony siyrum
t k	t	k	1	255	kaptány kapkan
u u.ɣ	u	u.ɣ	3	256, 373, 484	kapu kapuγ, saru čaruγ, turul tuγrïl
b p	b	p	1	261	karambél karampil
oː o.ɣ	oː	o.ɣ	2	263, 302	karó karoγ, kóró kuroγ
oː a	oː	a	2	264, 463	kárókaton karakotan, tinó tana
v ɣ	v	ɣ	4	265, 350, 400, 480	karvaly karγay, ölyv eliγ, süv siγ, törvény türüγen
t͡ʃ t͡ʃ.ɛ	t͡ʃ	t͡ʃ.ɛ	1	269	kecske kečeke
eː ɛ.j	eː	ɛ.j	1	270	kék keyk
ɟ t͡ʃ	ɟ	t͡ʃ	1	271	kelengye kälinčäγ
øː yː	øː	yː	1	273	kéneső kenešǖ
eː ɛ.w.ɛ	eː	ɛ.w.ɛ	1	278	kérő kevereγ
yː ɛ.ɣ	yː	ɛ.ɣ	2	280, 398	keselyű küčeleγ, sűrű čireγ
j j.i	j	j.i	1	286	kíjc kiyiz
t͡s z	t͡s	z	1	286	kíjc kiyiz
i i.l	i	i.l	1	287	kikerics kükerilč
ø ɛ.r	ø	ɛ.r	1	288	kiköcsény kükerčen
iː iː	iː	iː	1	289	kín kīn
o ɒ	o	ɒ	2	290, 296	kobak kåbåk, komócsin kåmičin
oː i	oː	i	1	296	komócsin kåmičin
h ɣ	h	ɣ	1	301	korhány korγan
oː u	oː	u	4	302, 331, 387, 467	kóró kuroγ, mónár munar, sió šiu, toklyó toklu
l n	l	n	1	310	köldök kindik
øː ø	øː	ø	2	313, 481	kömődörög kömöndörök, tőzeg tözek
d n.d	d	n.d	1	313	kömődörög kömöndörök
n m.ø.n	n	m.ø.n	1	314	kentreg kömöndörök
t d.ø	t	d.ø	1	314	kentreg kömöndörök
ɲ ɲ	ɲ	ɲ	1	315	könyv küńüγ
v y.ɣ	v	y.ɣ	1	315	könyv küńüγ
ø ɛ.ɣ	ø	ɛ.ɣ	1	317	köpcös köpčeγ
t͡s k	t͡s	k	1	318	köpec köpek
v w	v	w	2	323, 327	körtvély kertβeli, kuvasz kuwaz
u u.w.a	u	u.w.a	1	326	kun kuwan
s z	s	z	1	327	kuvasz kuwaz
lː lː	lː	lː	2	328, 396	küllő külleγ, süllő šilleγ
uː o.ɣ	uː	o.ɣ	2	333, 485	ocsú učoγ, túzok toγzak
o o.ɣ	o	o.ɣ	1	338	olló oγlaγ
o u.ɣ	o	u.ɣ	1	345	orv uγru
v u	v	u	1	345	orv uγru
o a.l	o	a.l	1	347	os alčuk
- u.k	-	u.k	1	347	os alčuk
j l.i	j	l.i	1	350	ölyv eliγ
øː ɛ.w.i	øː	ɛ.w.i	1	352	őr evir
ø ø.ɣ.i	ø	ø.ɣ.i	1	356	ör öγir
ø ɛ.ɣ.i	ø	ɛ.ɣ.i	1	358	örvény eγir
v -	v	-	1	358	örvény eγir
r r.u	r	r.u	1	369	sárga šarug
p p.i	p	p.i	1	377	seprű šipiriγ
eː i.u	eː	i.u	1	388	sé šiu
oː a.w	oː	a.w	2	390, 426	sólyo čavli, szó saw
o i	o	i	1	390	sólyo čavli
y i.ɣ.y	y	i.ɣ.y	1	397	süly šiγül
yː i	yː	i	1	398	sűrű čireγ
ʃ s	ʃ	s	2	399, 400	sű siγ, süv siγ
u a.ɣ	u	a.ɣ	1	409	szapu sapaγ
s sʲ	s	sʲ	4	411, 419, 431, 434	szárny śārn, szer śer, szőlő śeleγ, szűcs śiγči
d -	d	-	2	415, 459	szend sen, térd tīr
eː y	eː	y	2	420, 479	szérű sürüγ, történ törtün
i i.j	i	i.j	1	423	szirony siyrum
oː a.w.u	oː	a.w.u	1	428	szór sawur
t͡ʃ -	t͡ʃ	-	1	429	szöcsk sek
øː ɛ	øː	ɛ	1	431	szőlő śeleγ
uː i	uː	i	1	433	szúnyog sinuk
yː ø	yː	ø	1	435	szűn sön
aː i.l	aː	i.l	1	439	tanács tanilč
aː a.ɣ	aː	a.ɣ	1	441	táplá taplaγ
aː a.v.a	aː	a.v.a	1	444	tár tavar
k k.ɛ	k	k.ɛ	1	451	teknő tekeneγ
eː ɛ.w.i	eː	ɛ.w.i	1	457	tér tevir
eː iː	eː	iː	1	459	térd tīr
i a.l	i	a.l	1	462	tiló talkiγ
l k	l	k	1	462	tiló talkiγ
r r.o	r	r.o	1	471	torli toro
l j	l	j	1	472	torontál turuntay
oː aː	oː	aː	1	473	tót tāt
øː øː	øː	øː	1	477	tőr tȫr
ø -	ø	-	1	478	török türkü
r r.y	r	r.y	1	480	törvény türüγen
uː o	uː	o	1	483	túró toraγ
uː i.ɣ.u	uː	i.ɣ.u	1	490	tyúk tiγuk
y i.ɣ	y	i.ɣ	1	500	ürü iriγ
k ɡ	k	ɡ	1	501	üszök isüg
y ø	y	ø	1	503	üvecs öveč
